path,canonicalPath,wpId,wpType,wpStatus,template,authoritativeField,scopeRoles,sources,archetype,targetOwner,disposition,dependencyCount
/clients/catalyst/,/clients/catalyst/,10542,clients,publish,unknown,all-acf-fields,component-listing|post-reference,posts.10490.acf.sections_new[4].columns[1].components[0]|posts.10490.acf.sections_new[4].columns[1].components[0].category.specific[2]|posts.10490.acf.sections_new[5].columns[1].components[0]|posts.10490.acf.sections_new[6].columns[1].components[0]|posts.10490.acf.sections_new[7].columns[1].components[0]|posts.10490.acf.sections_new[8].columns[1].components[0]|posts.10490.acf.sections_new[9].components[2]|posts.1898.acf.sections_new[8].components[2]|posts.1940.acf.sections_new[4].columns[0].components[1],unknown:clients,unresolved,dependency-only,1
/clients/ceegex/,/clients/ceegex/,8609,clients,publish,unknown,all-acf-fields,component-listing,posts.10490.acf.sections_new[4].columns[1].components[0]|posts.10490.acf.sections_new[5].columns[1].components[0]|posts.10490.acf.sections_new[6].columns[1].components[0]|posts.10490.acf.sections_new[7].columns[1].components[0]|posts.10490.acf.sections_new[8].columns[1].components[0]|posts.10490.acf.sections_new[9].components[2]|posts.1898.acf.sections_new[8].components[2]|posts.1940.acf.sections_new[4].columns[0].components[1],unknown:clients,unresolved,dependency-only,1
/clients/cme-group-2/,/clients/cme-group-2/,8616,clients,publish,unknown,all-acf-fields,component-listing,posts.10490.acf.sections_new[4].columns[1].components[0]|posts.10490.acf.sections_new[5].columns[1].components[0]|posts.10490.acf.sections_new[6].columns[1].components[0]|posts.10490.acf.sections_new[7].columns[1].components[0]|posts.10490.acf.sections_new[8].columns[1].components[0]|posts.10490.acf.sections_new[9].components[2]|posts.1898.acf.sections_new[8].components[2]|posts.1940.acf.sections_new[4].columns[0].components[1],unknown:clients,unresolved,dependency-only,1
/clients/cme-group/,/clients/cme-group/,4444,clients,publish,unknown,all-acf-fields,component-listing|post-reference,posts.10490.acf.sections_new[4].columns[1].components[0]|posts.10490.acf.sections_new[5].columns[1].components[0]|posts.10490.acf.sections_new[6].columns[1].components[0]|posts.10490.acf.sections_new[7].columns[1].components[0]|posts.10490.acf.sections_new[8].columns[1].components[0]|posts.10490.acf.sections_new[9].components[2]|posts.1898.acf.sections_new[8].components[2]|posts.1898.acf.sections_new[8].components[2].category.specific[4]|posts.1940.acf.sections_new[4].columns[0].components[1],unknown:clients,unresolved,dependency-only,1
/clients/cubelogic/,/clients/cubelogic/,7828,clients,publish,unknown,all-acf-fields,component-listing|post-reference,posts.10490.acf.sections_new[4].columns[1].components[0]|posts.10490.acf.sections_new[5].columns[1].components[0]|posts.10490.acf.sections_new[5].columns[1].components[0].category.specific[1]|posts.10490.acf.sections_new[6].columns[1].components[0]|posts.10490.acf.sections_new[7].columns[1].components[0]|posts.10490.acf.sections_new[8].columns[1].components[0]|posts.10490.acf.sections_new[9].components[2]|posts.1898.acf.sections_new[8].components[2]|posts.1940.acf.sections_new[4].columns[0].components[1],unknown:clients,unresolved,dependency-only,1
/clients/decision-trees/,/clients/decision-trees/,7815,clients,publish,unknown,all-acf-fields,component-listing,posts.10490.acf.sections_new[4].columns[1].components[0]|posts.10490.acf.sections_new[5].columns[1].components[0]|posts.10490.acf.sections_new[6].columns[1].components[0]|posts.10490.acf.sections_new[7].columns[1].components[0]|posts.10490.acf.sections_new[8].columns[1].components[0]|posts.10490.acf.sections_new[9].components[2]|posts.1898.acf.sections_new[8].components[2]|posts.1940.acf.sections_new[4].columns[0].components[1],unknown:clients,unresolved,dependency-only,1
/clients/deltaconx/,/clients/deltaconx/,7829,clients,publish,unknown,all-acf-fields,component-listing,posts.10490.acf.sections_new[4].columns[1].components[0]|posts.10490.acf.sections_new[5].columns[1].components[0]|posts.10490.acf.sections_new[6].columns[1].components[0]|posts.10490.acf.sections_new[7].columns[1].components[0]|posts.10490.acf.sections_new[8].columns[1].components[0]|posts.10490.acf.sections_new[9].components[2]|posts.1898.acf.sections_new[8].components[2]|posts.1940.acf.sections_new[4].columns[0].components[1],unknown:clients,unresolved,dependency-only,1
/clients/deltix/,/clients/deltix/,7830,clients,publish,unknown,all-acf-fields,component-listing|post-reference,posts.10490.acf.sections_new[4].columns[1].components[0]|posts.10490.acf.sections_new[5].columns[1].components[0]|posts.10490.acf.sections_new[6].columns[1].components[0]|posts.10490.acf.sections_new[6].columns[1].components[0].category.specific[0]|posts.10490.acf.sections_new[7].columns[1].components[0]|posts.10490.acf.sections_new[8].columns[1].components[0]|posts.10490.acf.sections_new[9].components[2]|posts.1898.acf.sections_new[8].components[2]|posts.1940.acf.sections_new[4].columns[0].components[1],unknown:clients,unresolved,dependency-only,1
/clients/e-on/,/clients/e-on/,8569,clients,publish,unknown,all-acf-fields,component-listing|post-reference,posts.10490.acf.sections_new[4].columns[1].components[0]|posts.10490.acf.sections_new[5].columns[1].components[0]|posts.10490.acf.sections_new[6].columns[1].components[0]|posts.10490.acf.sections_new[7].columns[1].components[0]|posts.10490.acf.sections_new[8].columns[1].components[0]|posts.10490.acf.sections_new[9].components[2]|posts.1898.acf.sections_new[8].components[2]|posts.1898.acf.sections_new[8].components[2].category.specific[5]|posts.1940.acf.sections_new[4].columns[0].components[1],unknown:clients,unresolved,dependency-only,1
/clients/e%c2%b7opt/,/clients/e%c2%b7opt/,7822,clients,publish,unknown,all-acf-fields,component-listing|post-reference,posts.10490.acf.sections_new[4].columns[1].components[0]|posts.10490.acf.sections_new[5].columns[1].components[0]|posts.10490.acf.sections_new[6].columns[1].components[0]|posts.10490.acf.sections_new[7].columns[1].components[0]|posts.10490.acf.sections_new[8].columns[1].components[0]|posts.10490.acf.sections_new[9].components[2]|posts.10490.acf.sections_new[9].components[2].category.specific[2]|posts.1898.acf.sections_new[8].components[2]|posts.1940.acf.sections_new[4].columns[0].components[1],unknown:clients,unresolved,dependency-only,1
